GFO’2017-07,
"",,GFO’2017-07 megnevezés
kód,
"1,2",Vállalkozás
1,Jogi személyiségű vállalkozás
11,Gazdasági társaság
113,Korlátolt felelősségű társaság
114,Részvénytársaság
116,Közkereseti társaság
117,Betéti társaság
12,Szövetkezet
121,Szociális szövetkezet
122,Takarék- és hitelszövetkezet
123,Iskola szövetkezet
124,Agrárgazdasági szövetkezet
126,Biztosító szövetkezet
128,Foglalkoztatási szövetkezet
129,Egyéb szövetkezet
13,Egyéb jogi személyiségű vállalkozás
131,Ügyvédi iroda
132,Szabadalmi ügyvivő iroda
133,Vízitársulat
135,Erdőbirtokossági társulat
136,Végrehajtó iroda
137,Közjegyzői iroda
14,Jogi személyiségű európai gazdasági vállalkozások
141,Európai részvénytársaság (SE)
142,Európai szövetkezet (SCE)
143,Magyarországi székhelyű európai gazdasági egyesülés
144,Európai területi együttműködési csoportosulás (EGTC)
15,Szövetkezet (folytatás)
151,Közérdekű nyugdíjas szövetkezet
2,Jogi személyiség nélküli vállalkozás
21,Jogi személyiség nélküli gazdálkodó szervezet
214,Víziközmű-társulat
22,Gazdasági tevékenységet végző jogalany
226,Külföldi vállalkozás magyarországi fióktelepe
227,Külföldi székhelyű európai gazdasági egyesülés magyarországi telephelye
228,Egyéni cég
23,Önálló vállalkozó
231,Egyéni vállalkozó
232,Egyéb önálló vállalkozó
233,Adószámmal rendelkező magánszemély
3,Költségvetési szervek és költségvetési rend szerint gazdálkodó szervek
31,Központi költségvetési irányító és költségvetési szervek
311,Központi költségvetési irányító szerv
312,Központi költségvetési szerv
32,Helyi önkormányzati költségvetési irányító és költségvetési szervek
321,Helyi önkormányzat
322,Helyi önkormányzati költségvetési szerv
325,Önkormányzati hivatal (költségvetési szerv)
327,Helyi önkormányzatok társulása
328,Területfejlesztési önkormányzati társulás
34,Köztestületi költségvetési irányító és költségvetési szervek
341,Köztestületi költségvetési irányító szerv
342,Köztestületi költségvetési szerv
35,Országos nemzetiségi önkormányzati költségvetési irányító és költségvetési szervek
351,Országos nemzetiségi önkormányzat
352,Országos nemzetiségi önkormányzati költségvetési szerv
353,Országos nemzetiségi önkormányzatok társulása
36,Területfejlesztési tanácsok
362,Térségi fejlesztési tanács
37,Helyi nemzetiségi önkormányzati költségvetési irányító és költségvetési szervek
371,Helyi nemzetiségi önkormányzat
372,Helyi nemzetiségi önkormányzati költségvetési szerv
373,Helyi nemzetiségi önkormányzatok társulása
38,Költségvetési rend szerint gazdálkodó egyéb szervek
381,"Költségvetési rend szerint gazdálkodó, központi költségvetési körbe tartozó szerv"
382,"Költségvetési rend szerint gazdálkodó, önkormányzati költségvetési körbe tartozó szerv"
39,Költségvetési technikai kódok
391,Központi kezelésű előirányzat
392,Fejezeti kezelésű előirányzat
393,Elkülönített állami pénzalap
394,Nyugdíjbiztosítási Alap
395,Egészségbiztosítási Alap
396,Nemzeti Együttműködési Alap
397,Járási hivatalok
"5,6",Nonprofit és egyéb nem nyereségérdekelt szervezet
"51-59, 69",Statisztikai nonprofit szervezetek
5,Jogi személyiségű nonprofit szervezet
51-52,Egyesület
51,"Párt, érdekképviselet, szövetség, az egyesület jogi személyiséggel rendelkező szervezeti egysége"
511,Párt
512,Szakszervezet
513,Egyéb munkavállalói érdekképviselet
514,"Munkáltatói, tulajdonosi érdekképviselet"
515,Országos sportági szakszövetség
516,Egyéb sportszövetség
517,Egyéb szövetség
519,Egyesület jogi személyiséggel rendelkező szervezeti egysége
52,Az egyesület egyéb formái
521,Sportegyesület
524,Kölcsönös biztosító egyesület
525,Vallási tevékenységet végző szervezet
526,Polgárőr egyesület
528,Nemzetiségi egyesület
529,Egyéb egyesület
54,Köztestület
541,Kamara
549,Egyéb köztestület
55,Egyházi jogi személy
551,Bevett egyház
552,Elsődlegesen közfeladatot ellátó belső egyházi jogi személy
555,Elsődlegesen vallási tevékenységet végző belső egyházi jogi személy
559,Egyházi szervezet technikai kód
56,"Alapítvány, jogi személyiségű intézménye és szervezeti egysége"
561,Közalapítvány
562,Közalapítvány önálló intézménye
563,Egyéb alapítvány önálló intézménye
564,Pártalapítvány
565,Alapítvány jogi személyiséggel rendelkező szervezeti egysége
566,Kormány által létrehozott alapítvány
569,Egyéb alapítvány
57,Nonprofit gazdasági társaság
572,Nonprofit korlátolt felelősségű társaság
573,Nonprofit részvénytársaság
574,Európai kutatási infrastruktúráért felelős konzorcium (ERIC)
575,Nonprofit közkereseti társaság
576,Nonprofit betéti társaság
58,Pénztárszervezet
581,Önkéntes kölcsönös biztosító pénztár
582,Magánnyugdíjpénztár
583,Vegyes nyugdíjpénztár
59,"Egyéb, jogi személyiségű nonprofit szervezet"
591,Egyesülés
593,Lakásszövetkezet
595,Nemzeti otthonteremtési közösség
599,"Egyéb, jogi személyiségű nonprofit szervezet"
6,Jogi személyiség nélküli nonprofit szervezet
61,Jogi személyiség nélküli nonprofit szervezet
611,Külföldiek magyarországi közvetlen kereskedelmi képviselete
69,"Egyéb, jogi személyiség nélküli nonprofit szervezet"
692,Társasház
693,Építőközösség
699,"Egyéb, jogi személyiség nélküli nonprofit szervezet"
"7, 8, 9",Átmeneti és technikai kódok
7,Egyéb gazdasági szervezet
71,Állami gazdálkodó szervezet
711,Állami vállalat
72,Egyéb vállalat
721,Leányvállalat
73,Megszűnt gazdálkodási forma
731,Gazdasági munkaközösség
732,Közös vállalat
734,Polgári jogi társaság
735,Művészeti alkotóközösség
736,Közhasznú társaság
737,Egyes jogi személyek vállalata
738,"Egyéb, máshova nem sorolt vállalat"
739,Egyéb megszűnt gazdálkodási forma
9,Technikai kód
91,Alap
915,Befektetési alap
916,Országos Betétbiztosítási Alap
918,Pénztárak garanciaalapja
919,Egyéb alap
92,Munkavállalói résztulajdonosi program szervezete
921,Munkavállalói résztulajdonosi program szervezete
93,Egyéb adóalany
931,Egyéb adóalany
932,Adószámmal rendelkező külföldi vállalkozás
94,"Külföldi diplomáciai, konzuli testület, egyéb területen kívüli szervezet"
941,"Külföldi diplomáciai, konzuli testület"
942,Egyéb területen kívüli szervezet
96,Háztartás
961,Háztartás
